fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 174124	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	624	1	1	1	0.1	50	0.5	FALSE	102191	0.0100221740742689	0.35949156650093	0.854868201355635	9.06722026923473	0.0273882023843625	14772	18056000	44
20221029 174510	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	749	1	1	1	0.1	50	0.5	FALSE	102191	0.0101238752010377	0.23639789502021	0.999880226776097	7.90607059885749	0.0347717686853861	16376	16848000	45
20221029 175005	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1221	1	1	1	0.1	50	0.5	FALSE	102191	0.0104952855919537	0.392797255943023	0.507093187733716	5.39509570984557	0.0242599990754142	13490	19340000	46
20221029 175640	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2060	1	1	1	0.1	50	0.5	FALSE	102191	0.0106588306472143	0.395445738264159	0.221597452209588	5.35416735632384	0.0223027218281551	14289	18462000	47
20221029 180006	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	971	1	1	1	0.1	50	0.5	FALSE	102191	0.0100310550413445	0.615227353365373	0.828920107565162	5.58325264584202	0.0224963570632392	13630	19140000	48
20221029 180329	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1336	1	1	1	0.1	50	0.5	FALSE	102191	0.0100603609767442	0.634764821548035	0.546626307610344	5.4626132640021	0.020134558544152	14285	18630000	49
20221029 180640	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	916	1	1	1	0.1	50	0.5	FALSE	102191	0.0100051651565648	0.678590774521891	0.999722433290871	5.84815042997887	0.022879616234856	13226	19308000	50
20221029 181057	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	910	1	1	1	0.1	50	0.5	FALSE	102191	0.0111031974817261	0.601589378667931	0.999233913689957	6.54060071853254	0.0192964182058348	13845	18310000	51
20221029 181344	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	741	1	1	1	0.1	50	0.5	FALSE	102191	0.0107021068224519	0.799834270718195	0.997519982581801	5.6685046470433	0.022277134853682	13754	18812000	52
20221029 181638	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	776	1	1	1	0.1	50	0.5	FALSE	102191	0.0101185191735271	0.729729921399093	0.77958205705477	5.97040159572198	0.0235050719961823	13092	19016000	53
20221029 183300	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2186	1	1	1	0.1	50	0.5	FALSE	102191	0.0100154656942466	0.799965074714617	0.529072993618133	10.7621460781072	3.00145678057571e-06	14324	17352000	54
20221029 185856	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1688	1	1	1	0.1	50	0.5	FALSE	102191	0.0101902999842831	0.644509702390631	0.999366109895173	11.9997743050504	9.90092877287664e-06	14616	17488000	55
20221029 185941	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	0.1	50	0.5	FALSE	102191	0.112778894811354	0.706637578008327	0.942898618512453	5.4448527071995	0.0204676502608473	14247	18546000	56
20221029 191102	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5807	1	1	1	0.1	50	0.5	FALSE	102191	0.0101229790095458	0.200238206817885	0.0501228881980989	6.31521070251786	0.0255983703679143	13146	18748000	57
20221029 192701	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8672	1	1	1	0.1	50	0.5	FALSE	102191	0.0101390524446994	0.200666119230484	0.050980936708376	3.92609528785676	0.0253742442218786	15318	15684000	58
20221029 193201	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1982	1	1	1	0.1	50	0.5	FALSE	102191	0.0106038596114084	0.200013578912101	0.051267088903833	8.38241328450722	0.0225466642938926	14583	18594000	59
20221029 194857	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2170	1	1	1	0.1	50	0.5	FALSE	102191	0.0114434749076711	0.242447329120341	0.865242585272857	11.9976343245046	5.04910650794001e-05	13247	19426000	60
20221029 195139	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	390	1	1	1	0.1	50	0.5	FALSE	102191	0.0774031959109304	0.280215884415358	0.34415679857761	11.9932676855254	2.22970973125994e-05	12492	19656000	61
20221029 195748	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2263	1	1	1	0.1	50	0.5	FALSE	102191	0.010101488184456	0.299914732532763	0.0502045827343851	7.031483363953	0.0217037453456462	14823	17714000	62
20221029 195858	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	128	1	1	1	0.1	50	0.5	FALSE	102191	0.0712442944859039	0.442206480352045	0.488579074408135	5.59914804671863	0.0206987480864321	15293	17894000	63
20221029 200012	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	0.1	50	0.5	FALSE	102191	0.071428070487217	0.395534435332831	0.997937686524579	7.54944650400761	0.0287404564173321	15233	16974000	64
20221029 200117	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	180	1	1	1	0.1	50	0.5	FALSE	102191	0.0481807010458228	0.701512043615853	0.912553542320683	5.70409350600843	0.0207268231458551	14749	17302000	65
20221029 200220	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	0.1	50	0.5	FALSE	102191	0.146738059134026	0.573484580234747	0.998820953930446	5.50131588521968	0.0241133756776194	12956	18248000	66
